,Gross enrollment ratio,,,,,,,,Children out of school,,,
,Preprimary,,Primary,,Secondary,,Tertiary,,"Primary school-age children, male",,"Primary school-age children, female",
,% of relevant age group,,% of relevant age group,,% of relevant age group,,% of relevant age group,,,,,
,2015,2020,2015,2020,2015,2020,2015,2020,2015,2020,2015,2020
Afghanistan,..,..,103.5,106.7,51.7,55.4,8.2,10.6,..,..,..,..
Albania,86.4,75.1,105.5,100.2,97.4,94.3,62,57.8,6487,4748,2626,1473
Algeria,..,..,115.9,111.3,..,..,36.8,52.5,..,..,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..
Angola,39.6,..,113.5,..,50.7,..,8.4,..,..,..,..,..
Antigua and Barbuda,74.9,70.3,105,105,108.2,111.2,..,..,92,..,25,..
Argentina,74.7,77.8,111.3,109.5,106.9,108.2,84,95.4,..,..,..,..
Armenia,36.4,46.6,95,91.2,86,87.3,46.5,50.8,4674,9526,3105,8263
Aruba,103.5,..,117.1,..,..,..,15.3,..,..,..,..,..
Australia,124.2,160.2,101.6,99,157.2,134.5,118.6,114.2,3862,16412,3169,16952
Austria,102.5,102.7,102,103.1,100.3,100.2,80.7,86.5,991,..,521,..
Azerbaijan,23.9,44.7,106.6,95.8,..,94.1,25.5,35.2,8799,44017,3367,27105
"Bahamas, The",28.6,34.5,..,..,76.9,..,..,..,..,..,..,..
Bahrain,56,52.6,101.2,98,102.2,97.1,43.3,60.3,853,1116,555,1654
Bangladesh,32.4,45.6,115,119.6,65.6,74.4,13.8,22.8,..,..,..,..
Barbados,90.9,84.2,95.9,99.7,107.5,104,..,..,509,194,396,318
Belarus,100.4,99.1,99.1,95.3,105.5,103.5,89.6,86.6,3305,10585,2580,13329
Belgium,117,113.5,103.2,102.6,163.9,156.1,74.6,80.1,3065,5341,4338,1819
Belize,49.9,46.6,112.9,107.7,80.7,85.2,23.3,25.6,157,..,279,..
Benin,23.9,22.2,132.5,114.2,58.8,47.5,13.6,11.1,..,37876,..,90707
Bermuda,68.8,..,101.1,..,77,..,25.1,19,..,..,..,..
Bhutan,22.8,32.7,104.2,105.8,84,90.1,14.1,16.4,5368,2286,4030,966
Bolivia,70.2,78.5,95.9,98.8,91.4,90.2,..,..,76580,36702,78221,32345
Bosnia and Herzegovina,15.6,27.3,..,..,..,..,50.2,37.9,..,..,..,..
Botswana,21.4,..,103.2,99,..,73.6,30.2,26.1,19288,..,16996,..
Brazil,90.7,95.5,113.4,112,100.6,104,51.3,55.1,62777,..,40566,..
Brunei Darussalam,69.3,63.5,105.5,98.3,96.4,91.4,31.3,32,..,381,..,297
Bulgaria,79.7,82.7,94.2,85.9,102.3,92.4,70.3,73.4,11049,22412,10662,21250
Burkina Faso,4.1,6.4,88.4,92.6,33.7,40.6,5.1,7.8,448778,435271,468549,421950
Burundi,13.7,16.5,130.9,115.1,44.3,47.6,5.1,5,51105,118386,23181,83817
Cabo Verde,75,74.7,105.5,100.9,94.7,89,23.1,23.6,1841,2270,2269,2522
Cambodia,18,27.3,117.1,105.4,..,54.8,13.1,14.7,53870,111873,28714,111065
Cameroon,37,35.6,116.2,105.7,59,..,17,14.3,15527,83981,176603,262532
Canada,..,..,102.5,101,110.4,114.3,64.8,75.7,..,..,..,..
Cayman Islands,85.3,89.3,87.5,87.6,83.6,77,25.9,..,345,238,253,273
Central African Republic,2.9,..,102,..,15,..,..,..,..,..,..,..
Chad,0.8,1.1,91.6,89.2,22.4,20.6,3.3,..,132382,240215,379252,483664
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..
Chile,82.3,84.8,100.7,102.4,101.8,103.7,85.3,93.1,25567,460,28819,6549
China,78.7,90.5,96.3,103.2,..,..,46,58.4,..,..,..,..
"Hong Kong SAR, China",108.3,101.2,110.2,107.8,102.2,108.4,69.5,84.4,..,..,..,..
"Macao SAR, China",88.7,90.4,99.3,99.3,94.5,102.6,71.4,113.1,606,481,538,726
Colombia,..,85.9,115.2,112.7,94.7,101.8,53.3,54.2,76236,35165,64430,9823
Comoros,20.9,21.8,105,99.5,61.1,59.5,9,..,7084,11522,8261,11145
"Congo, Dem. Rep.",4.4,5.7,108,118.5,46.2,..,6.6,..,..,..,..,..
"Congo, Rep.",..,14.3,..,93.7,..,..,12.7,..,..,62954,..,67734
Costa Rica,79.3,97.2,111.3,115,122.8,142,53.1,57.7,3858,..,4147,..
Cote d'Ivoire,7.1,10.6,90.7,100.5,42.5,57.5,8.8,9.9,346527,5796,518393,142545
Croatia,63.6,70.8,100.6,93.2,98.7,100.1,66.5,67.7,..,..,..,..
Cuba,101.4,97.2,99.5,103.2,97.9,99.9,36.1,46.7,22410,2399,21934,3304
Curacao,..,94,161,103.8,87.2,111.4,21.3,16.1,..,420,..,485
Cyprus,80.3,87.1,99.3,100.5,99.8,100.9,60.1,88.5,426,100,332,229
Czech Republic,105.2,113.4,99.5,100.3,105.1,101.3,64.5,65.6,2302,3607,1209,1393
Denmark,95.7,101.3,101.5,100.3,130.3,129.9,82.1,81.8,181,2191,94,961
Djibouti,5.2,10.5,70.1,73.8,46.8,54.3,..,..,20451,15489,14802,15408
Dominica,96.7,76,116.2,102.3,94.3,101.6,..,..,..,31,..,23
Dominican Republic,48.4,57.6,111.4,105.7,80,79.8,51.7,61.2,23802,27230,28587,20340
Ecuador,73,56,107.7,99,104,100.6,44.9,47.9,..,..,..,..
"Egypt, Arab Rep.",29.9,29.3,105.4,106.4,85.1,89.5,35,38.9,..,..,..,..
El Salvador,65.3,..,106.3,..,76.9,..,28,29.9,26255,..,23765,..
Equatorial Guinea,43.4,..,61.8,..,..,..,..,..,42800,..,40811,..
Eritrea,19.5,23.3,76.2,68.4,51.8,47.7,3.5,..,88279,117424,98115,124564
Estonia,93.6,94.3,97.1,97.9,111,115.6,72.2,74.2,1085,1345,927,936
Eswatini,30,..,119.2,114.5,76,..,6.7,..,15323,15101,16453,16301
Ethiopia,29.4,33.3,101,119.4,34.9,..,9.6,10.4,911879,763550,1394680,1424020
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,31.5,33.7,106.7,112.7,..,94.2,..,53.5,302,..,598,..
Finland,79.6,87.3,100.6,99.9,150,145.3,87.7,93,1118,4141,1074,2820
France,105.1,106.2,102,102.5,103.4,104.3,62.8,68.4,12578,..,8912,..
French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,..,43,..,..,..,..,..,21.1,..,..,..,..
"Gambia, The",37.6,43.7,90,103.5,..,..,..,..,44905,34840,33606,13922
Georgia,..,95.2,102.8,99.4,99.4,102.6,46.5,66.7,3577,1921,2369,116
Germany,108.8,107.9,101.7,102.5,98.8,97.5,67.7,73.5,31346,24551,21244,4294
Ghana,120.9,116.1,108.3,103.4,67.9,77.7,15.7,18.7,56903,155175,33801,110013
Greece,75,83.8,99.5,100,102.2,108.1,131.5,148.5,5996,3778,8100,1901
Greenland,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,92,130.8,118.6,106.9,111.8,113.5,95.6,104.6,..,..,..,..
Guam,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,46.3,47.6,101.5,100.6,54.2,50.4,21.8,22.1,146694,131945,135842,114414
Guinea,14.4,17.6,91.5,100.8,39.3,..,9.4,7,142323,80822,283090,221655
Guinea-Bissau,13.2,..,..,..,..,..,..,..,..,..,..,..
Guyana,62.3,..,..,..,..,..,..,..,..,..,..,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,37.9,39.4,91.9,..,49.5,..,20.4,25.5,126217,..,115585,..
Hungary,81.2,89.3,102.3,95.5,103,80.3,49,52.4,5685,10298,5384,10567
Iceland,97.4,95.8,98.6,101,119.1,115.4,75.8,77.6,202,..,206,..
India,60.5,61.1,108.5,99.9,73.9,75.5,26.8,29.4,2025529,4108190,862219,2437635
Indonesia,61.9,62.3,106,106.4,86.1,88.9,33.3,36.3,608103,482011,1170613,1073003
"Iran, Islamic Rep.",52.6,72.5,108.9,109.7,85.9,89.4,73,58.2,..,..,..,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,102.1,97.3,101.2,101,117,138.1,77.2,75.2,..,..,..,..
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..
Israel,111.7,110.1,105.6,104.5,103.7,105,65.5,60.3,..,..,..,..
Italy,97.1,92.9,100.4,101,102.3,101.2,60.9,66.1,20839,48425,21264,49814
Jamaica,..,..,..,..,..,..,27.1,..,..,..,..,..
Japan,..,..,..,..,..,..,..,..,..,..,..,..
Jordan,25.9,31.5,78.6,80.4,69.1,67.8,36.6,33.6,152979,139470,156042,142039
Kazakhstan,60.7,74.1,111.6,100.3,110.3,103.8,46.4,70.7,..,76826,..,68160
Kenya,75.1,65.1,103.7,..,..,..,9.2,10,..,..,..,..
Kiribati,..,88.8,105.6,108,..,..,..,..,..,..,..,..
"Korea, Dem. People's Rep.",..,..,..,89.3,92.3,..,28.1,26.8,..,..,..,..
"Korea, Rep.",94,92.2,98.8,101,100,95.9,94.3,98.4,21098,12706,18519,12519
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,68,60.2,102.6,87.3,97.8,..,55.1,61.1,6144,..,1146,..
Kyrgyz Republic,27.9,40.7,105.4,102.6,91.1,98.1,46.7,46.5,..,..,..,..
Lao PDR,35,49.2,114,98.8,63.4,62.8,18.2,13.5,16141,29449,21968,33973
Latvia,94,94.7,99.4,100,112.4,107.6,74.3,94.9,1424,949,982,472
Lebanon,..,..,..,..,..,..,..,..,..,..,..,..
Lesotho,39.3,35,116.6,..,60.7,..,10.2,10.2,12787,..,10829,..
Liberia,157.8,..,95.3,..,37.9,..,..,..,21442,..,26071,..
Libya,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,103.6,104.6,105.7,103.8,116.1,119.2,33.5,41.2,27,..,17,..
Lithuania,86.3,88.8,102.1,103,107.7,108.4,69.7,72,..,..,..,..
Luxembourg,93.2,91.5,99,104.7,102.3,104.7,19.8,18.4,209,..,175,..
Madagascar,18,40.1,147.3,134.1,38.5,34.6,4.8,5.5,..,..,..,..
Malawi,83.6,..,146.4,144.8,40.8,37.1,0.8,1.7,..,..,..,..
Malaysia,97,96.7,103.8,103.9,84.9,82.5,45.6,42.6,470,27915,2807,19665
Maldives,104.1,86,101.5,98,..,81.3,13.1,34.1,774,835,418,174
Mali,4.1,7,75.7,75.6,41.7,41,5.5,..,531456,631173,624734,711827
Malta,110.4,111,103.5,106.6,94.9,108,47.1,64.9,..,..,..,..
Marshall Islands,39.1,67.7,87.5,74.9,66.4,62.7,..,25.8,1263,1346,1115,1329
Mauritania,10.5,..,104.5,100.4,31.4,39.4,5.6,5.9,89421,85497,75256,70645
Mauritius,105.5,102,102.9,98.4,97.4,93.7,37.4,44.3,1814,..,491,..
Mexico,72,71,106.6,104.7,100.8,104.6,31.8,42.8,..,..,..,..
"Micronesia, Fed. Sts.",31.4,24.2,97.2,90,..,..,..,..,1067,1259,992,1114
Moldova,90.5,94.2,105.7,106.3,105.1,108.5,52.1,58,..,..,..,..
Monaco,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,79.2,85.9,100.4,103.4,..,91.5,68,68.8,2373,..,4024,..
Montenegro,55.4,78.1,95.4,101.7,92.7,90.4,56.8,55.5,967,..,713,..
Morocco,56.8,60.4,109.5,115.2,79.9,82.5,28.4,40.6,81091,..,81149,..
Mozambique,..,..,108.6,118.4,33.6,..,6.7,7.3,155357,32478,305669,110861
Myanmar,9.1,8.5,108.9,112.3,60.3,68.4,..,18.8,..,..,..,..
Namibia,27.6,35.8,124.2,124.2,..,..,20.6,24.1,..,..,..,..
Nepal,89.7,104.2,144.2,126.9,67.8,85.5,15,13.5,..,..,..,..
Netherlands,94.3,89.6,102.7,106.1,133.5,134.4,80.6,87.1,8082,..,2934,..
New Caledonia,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,91.9,91.7,97.9,101.7,114.7,123.1,80.6,80.3,3928,..,2730,..
Nicaragua,62.8,70,..,..,..,..,19.1,19.6,..,..,..,..
Niger,7.3,7.4,71.6,66.4,20.1,..,3.3,4.4,562414,760498,718427,886775
