AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA,Causas
2020,15236,Chivor,15,Boyacá,3769,Boyacá (ETC),473,68.71,68.71,60.53,71.88,65.43,30.86,71.67,60.53,74.48,82.72,48.15,,,3.58,0.0,0.0,7.46,5.71,91.04,100.0,100.0,80.6,88.57,5.37,0.0,0.0,11.94,5.71,11.34,0.0,4.2,21.64,8.57,
2020,99524,La Primavera,99,Vichada,3832,Vichada (ETC),2511,98.05,98.05,57.37,98.84,63.43,32.61,108.88,98.95,134.59,101.94,64.01,,,3.51,3.72,3.1,3.92,4.15,91.29,96.28,89.85,91.7,93.96,5.19,0.0,7.06,4.37,1.89,8.71,0.0,13.32,4.71,4.15,Sin acceso a internet
2020,99001,Puerto Carreño,99,Vichada,3832,Vichada (ETC),4608,127.24,127.17,102.19,134.97,73.74,31.38,137.89,136.98,187.22,110.28,64.76,,,2.36,3.16,2.96,1.17,0.77,87.86,96.84,88.78,82.39,89.72,9.78,0.0,8.27,16.44,9.51,9.55,0.2,9.6,13.65,5.14,Sin acceso a internet
2020,97889,Yavaraté,97,Vaupés,3831,Vaupés (ETC),545,48.62,48.62,31.43,50.0,24.24,14.29,55.6,80.0,75.44,36.36,36.9,,,4.95,3.57,2.33,8.33,12.9,82.51,96.43,79.65,83.33,83.87,12.54,0.0,18.02,8.33,3.23,5.28,17.86,4.07,5.56,0.0,Sin acceso a internet
2020,97777,Papunaua,97,Vaupés,3831,Vaupés (ETC),226,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Sin acceso a internet
2020,97666,Taraira,97,Vaupés,3831,Vaupés (ETC),830,15.3,15.3,12.86,25.0,0.0,0.0,16.51,20.0,38.44,0.0,0.0,,,0.0,0.0,0.0,,,78.83,100.0,76.42,,,21.17,0.0,23.58,,,2.92,0.0,3.25,0.0,0.0,Sin acceso a internet
2020,97511,Pacoa,97,Vaupés,3831,Vaupés (ETC),1714,51.28,51.28,6.88,58.16,16.99,2.07,63.19,15.63,102.98,49.37,19.31,,,2.87,0.0,2.62,3.99,1.82,73.48,96.0,66.12,87.68,89.09,23.66,4.0,31.27,8.33,9.09,13.2,0.0,17.91,4.71,0.0,Sin acceso a internet
2020,97161,Caruru,97,Vaupés,3831,Vaupés (ETC),1201,21.07,21.07,41.98,28.71,0.0,0.0,21.23,53.09,41.98,0.0,0.0,,,1.57,4.65,0.94,,,92.16,93.02,91.98,,,6.27,2.33,7.08,,,7.06,0.0,8.49,0.0,0.0,Sin acceso a internet
2020,97001,Mitú,97,Vaupés,3831,Vaupés (ETC),11394,61.29,61.29,35.8,60.44,40.19,17.84,72.08,49.52,82.48,73.28,53.14,,,2.47,2.92,2.14,2.51,3.89,81.9,89.21,81.46,81.73,80.42,15.63,7.87,16.4,15.76,15.69,6.45,1.35,6.3,7.79,5.69,Sin acceso a internet
2020,95200,Miraflores,95,Guaviare,3830,Guaviare (ETC),1904,41.39,41.39,17.31,33.8,27.44,14.34,50.58,35.9,56.3,54.89,30.57,,,3.73,1.79,3.95,3.19,6.15,92.08,98.21,88.82,95.74,93.85,4.19,0.0,7.24,1.06,0.0,9.43,0.0,10.53,11.35,1.54,Sin acceso a internet
2020,95025,El Retorno,95,Guaviare,3830,Guaviare (ETC),3837,72.74,72.74,39.6,71.16,57.04,24.89,85.93,74.83,95.97,94.2,50.53,,,1.37,1.35,0.88,2.25,0.75,88.9,95.52,92.7,82.21,87.92,9.73,3.14,6.42,15.54,11.32,2.51,1.79,2.7,2.93,0.38,Sin acceso a internet
2020,95015,Calamar,95,Guaviare,3830,Guaviare (ETC),2325,69.81,69.81,29.22,71.21,55.66,18.72,90.06,59.36,93.84,102.96,72.46,,,2.2,0.77,1.09,3.93,4.24,85.36,96.15,85.87,82.32,83.9,12.44,3.08,13.04,13.75,11.86,11.86,0.77,11.2,16.43,7.63,Sin acceso a internet
2020,95001,San José del Guaviare,95,Guaviare,3830,Guaviare (ETC),13416,94.25,94.23,50.34,85.24,78.79,42.13,113.92,92.91,113.93,125.54,101.77,,,5.53,3.9,4.18,7.11,7.78,85.92,95.47,92.4,76.08,81.66,8.55,0.63,3.43,16.81,10.57,5.83,0.53,4.84,9.0,3.72,Sin acceso a internet
2020,94888,Morichal,94,Guainía,3829,Guainía (ETC),337,44.21,44.21,38.71,54.69,13.33,3.45,59.94,48.39,78.13,50.83,44.83,,,1.49,0.0,1.0,0.0,7.69,83.58,93.33,83.0,81.67,84.62,14.93,6.67,16.0,18.33,7.69,13.86,0.0,26.0,1.64,3.85,Sin acceso a internet
2020,94887,Pana Pana,94,Guainía,3829,Guainía (ETC),663,34.69,34.69,25.0,31.73,10.04,1.87,43.29,48.53,61.04,33.05,21.5,,,10.8,0.0,5.92,22.78,17.39,82.58,100.0,86.18,72.15,69.57,6.62,0.0,7.89,5.06,13.04,15.33,6.06,14.47,25.32,0.0,Sin acceso a internet
2020,94886,Cacahual,94,Guainía,3829,Guainía (ETC),368,87.23,87.23,95.65,83.24,4.2,0.0,95.92,208.7,159.54,24.37,0.0,,,12.18,10.42,11.59,20.69,,87.82,89.58,88.41,79.31,,0.0,0.0,0.0,0.0,,0.28,0.0,0.36,0.0,0.0,Sin acceso a internet
2020,94885,La Guadalupe,94,Guainía,3829,Guainía (ETC),107,65.42,65.42,20.0,78.0,0.0,0.0,70.09,80.0,134.0,0.0,0.0,,,6.67,0.0,7.46,,,93.33,100.0,92.54,,,0.0,0.0,0.0,,,1.33,0.0,1.49,0.0,0.0,Sin acceso a internet
2020,94884,Puerto Colombia,94,Guainía,3829,Guainía (ETC),715,63.36,63.36,33.85,66.46,11.26,0.94,73.57,93.85,115.84,26.58,31.13,,,8.56,13.11,7.24,5.08,21.21,91.44,86.89,92.76,94.92,78.79,0.0,0.0,0.0,0.0,0.0,0.95,1.64,0.8,0.0,3.03,Sin acceso a internet
2020,94883,San Felipe,94,Guainía,3829,Guainía (ETC),617,64.67,64.67,50.0,54.8,21.13,5.68,76.34,121.21,102.0,51.17,30.68,,,3.82,3.75,3.14,4.59,7.41,96.18,96.25,96.86,95.41,92.59,0.0,0.0,0.0,0.0,0.0,7.64,1.25,4.71,19.27,7.41,Sin acceso a internet
2020,94343,Barranco Minas,94,Guainía,3829,Guainía (ETC),3616,66.23,66.23,56.21,70.32,27.58,6.69,79.87,78.88,101.02,67.46,46.65,,,0.62,1.18,0.69,0.51,0.0,86.17,96.06,81.72,88.71,96.12,13.2,2.76,17.59,10.79,3.88,15.13,2.36,22.13,8.86,3.88,Sin acceso a internet
2020,94001,Inírida,94,Guainía,3829,Guainía (ETC),9348,75.99,75.98,60.95,73.28,42.4,14.45,90.19,105.15,107.75,85.68,46.61,,,3.61,6.06,3.61,3.09,2.3,77.6,88.14,83.65,64.58,70.83,18.79,5.8,12.74,32.33,26.87,9.87,0.26,9.11,16.01,3.45,Sin acceso a internet
2020,91798,Tarapacá,91,Amazonas,3828,Amazonas (ETC),1267,57.54,57.54,50.0,64.73,32.22,10.63,66.3,70.37,83.86,57.04,37.68,,,0.64,1.32,0.89,0.0,0.0,99.36,98.68,99.11,100.0,100.0,0.0,0.0,0.0,0.0,0.0,10.55,1.32,17.67,0.93,0.0,Sin acceso a internet
2020,91669,Puerto Santander,91,Amazonas,3828,Amazonas (ETC),591,64.13,64.13,58.33,70.7,33.0,8.05,79.86,108.33,94.14,65.5,55.17,,,2.91,1.92,2.49,3.06,9.09,97.09,98.08,97.51,96.94,90.91,0.0,0.0,0.0,0.0,0.0,11.62,3.85,13.28,13.27,4.55,Sin acceso a internet
2020,91540,Puerto Nariño,91,Amazonas,3828,Amazonas (ETC),3212,53.42,53.42,30.6,57.79,38.76,12.7,59.9,56.34,74.76,54.86,31.85,,,0.91,2.65,0.49,1.05,1.5,82.95,97.35,87.86,73.69,69.17,16.14,0.0,11.65,25.26,29.32,15.38,7.95,16.96,16.72,6.02,Sin acceso a internet
2020,91536,Puerto Arica,91,Amazonas,3828,Amazonas (ETC),277,82.67,82.67,40.0,88.1,55.81,0.0,91.34,90.0,114.29,95.35,0.0,,,0.4,0.0,0.0,1.22,,99.6,100.0,100.0,98.78,,0.0,0.0,0.0,0.0,,11.07,3.7,16.67,3.66,0.0,Sin acceso a internet
2020,91530,Puerto Alegría,91,Amazonas,3828,Amazonas (ETC),219,85.84,85.84,43.48,100.96,32.31,0.0,94.52,126.09,133.65,60.0,0.0,,,2.42,3.45,1.44,5.13,,97.58,96.55,98.56,94.87,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Sin acceso a internet
2020,91460,Miriti - Paraná,91,Amazonas,3828,Amazonas (ETC),588,33.5,33.5,4.17,24.48,31.58,9.17,44.39,35.42,36.1,69.47,22.94,,,0.77,0.0,1.15,0.76,0.0,99.23,100.0,98.85,99.24,100.0,0.0,0.0,0.0,0.0,0.0,6.51,5.88,11.49,4.55,0.0,Sin acceso a internet
