AÑO,MUNICIPIO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,DESERCIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,Causas
2020,La Primavera,Vichada,2511,98.05,3.51,3.1,3.92,4.15,Sin acceso a internet
2020,Puerto Carreño,Vichada,4608,127.24,2.36,2.96,1.17,0.77,Sin acceso a internet
2020,Yavaraté,Vaupés,545,48.62,4.95,2.33,8.33,12.9,Sin acceso a internet
2020,Pacoa,Vaupés,1714,51.28,2.87,2.62,3.99,1.82,Sin acceso a internet
2020,Mitú,Vaupés,11394,61.29,2.47,2.14,2.51,3.89,Sin acceso a internet
2020,Miraflores,Guaviare,1904,41.39,3.73,3.95,3.19,6.15,Sin acceso a internet
2020,El Retorno,Guaviare,3837,72.74,1.37,0.88,2.25,0.75,Sin acceso a internet
2020,Calamar,Guaviare,2325,69.81,2.2,1.09,3.93,4.24,Sin acceso a internet
2020,San José del Guaviare,Guaviare,13416,94.25,5.53,4.18,7.11,7.78,Sin acceso a internet
2020,Morichal,Guainía,337,44.21,1.49,1.0,0.0,7.69,Sin acceso a internet
2020,Pana Pana,Guainía,663,34.69,10.8,5.92,22.78,17.39,Sin acceso a internet
2020,Puerto Colombia,Guainía,715,63.36,8.56,7.24,5.08,21.21,Sin acceso a internet
2020,San Felipe,Guainía,617,64.67,3.82,3.14,4.59,7.41,Sin acceso a internet
2020,Barranco Minas,Guainía,3616,66.23,0.62,0.69,0.51,0.0,Sin acceso a internet
2020,Inírida,Guainía,9348,75.99,3.61,3.61,3.09,2.3,Sin acceso a internet
2020,Tarapacá,Amazonas,1267,57.54,0.64,0.89,0.0,0.0,Sin acceso a internet
2020,Puerto Santander,Amazonas,591,64.13,2.91,2.49,3.06,9.09,Sin acceso a internet
2020,Puerto Nariño,Amazonas,3212,53.42,0.91,0.49,1.05,1.5,Sin acceso a internet
2020,Miriti - Paraná,Amazonas,588,33.5,0.77,1.15,0.76,0.0,Sin acceso a internet
2020,La Pedrera,Amazonas,1186,74.62,0.6,0.49,0.9,0.0,Sin acceso a internet
2020,La Chorrera,Amazonas,1159,51.6,6.35,0.0,15.19,11.29,Sin acceso a internet
2020,El Encanto,Amazonas,674,51.48,0.52,0.0,0.86,2.7,Sin acceso a internet
2020,Leticia,Amazonas,13222,98.64,2.72,0.8,3.82,2.73,Sin acceso a internet
2020,Providencia,Archipiélago de San Andrés. Providencia y Santa Catalina,1199,75.06,0.55,1.06,0.0,0.0,Sin acceso a internet
2020,San Andrés,Archipiélago de San Andrés. Providencia y Santa Catalina,9970,94.9,1.52,1.33,1.79,1.61,Sin acceso a internet
2020,Villagarzón,Putumayo,5559,105.95,7.92,5.29,11.12,10.98,Sin acceso a internet
2020,Valle del Guamuez,Putumayo,7702,87.25,8.16,6.25,10.65,9.27,Sin acceso a internet
2020,Santiago,Putumayo,1535,79.8,4.96,3.57,6.56,4.84,Sin acceso a internet
2020,San Miguel,Putumayo,4575,85.14,7.93,5.91,9.99,11.22,Sin acceso a internet
2020,San Francisco,Putumayo,1099,80.25,5.98,2.6,11.29,5.07,Sin acceso a internet
2020,Sibundoy,Putumayo,2922,105.51,1.45,0.87,1.66,2.51,Sin acceso a internet
2020,Leguízamo,Putumayo,7882,70.44,9.37,6.51,13.69,14.34,Sin acceso a internet
2020,Puerto Guzmán,Putumayo,9849,50.95,14.09,8.42,24.53,21.53,Sin acceso a internet
2020,Puerto Caicedo,Putumayo,3368,67.46,7.62,7.93,7.39,8.41,Sin acceso a internet
2020,Puerto Asís,Putumayo,14808,94.15,6.93,5.54,9.26,7.89,Sin acceso a internet
2020,Orito,Putumayo,9060,93.77,6.53,6.2,6.86,8.0,Sin acceso a internet
2020,Colón,Putumayo,1020,80.39,3.58,2.92,3.68,6.52,Sin acceso a internet
2020,Mocoa,Putumayo,11431,91.17,5.86,5.36,5.94,6.14,Sin acceso a internet
2020,Villanueva,Casanare,7732,94.43,1.33,0.93,1.59,1.66,Sin acceso a internet
2020,Trinidad,Casanare,3167,96.34,5.12,5.86,4.44,2.36,Sin acceso a internet
2020,Tauramena,Casanare,5696,91.31,1.6,1.21,1.61,2.84,Sin acceso a internet
2020,Támara,Casanare,1687,93.01,0.87,0.24,1.72,1.65,Sin acceso a internet
2020,San Luis de Palenque,Casanare,1896,81.8,2.5,2.97,1.73,2.99,Sin acceso a internet
2020,Sácama,Casanare,458,58.08,1.08,1.8,1.01,0.0,Sin acceso a internet
2020,Sabanalarga,Casanare,705,89.93,2.03,1.15,2.36,4.03,Sin acceso a internet
2020,Recetor,Casanare,326,50.0,3.43,3.13,5.71,0.0,Sin acceso a internet
2020,Pore,Casanare,2897,79.67,1.58,1.42,2.35,0.83,Sin acceso a internet
2020,Paz de Ariporo,Casanare,8729,92.85,1.72,1.83,1.62,1.53,Sin acceso a internet
2020,Orocué,Casanare,3346,79.38,3.53,2.43,5.1,3.8,Sin acceso a internet
2020,Nunchía,Casanare,1870,90.0,0.34,0.24,0.16,0.0,Sin acceso a internet
2020,Monterrey,Casanare,3718,91.15,0.87,0.68,0.66,2.04,Sin acceso a internet
2020,Maní,Casanare,3783,82.02,3.49,2.56,5.0,4.14,Sin acceso a internet
2020,La Salina,Casanare,377,64.72,2.55,0.94,5.61,0.0,Sin acceso a internet
2020,Hato Corozal,Casanare,3246,97.13,1.75,1.06,2.85,2.57,Sin acceso a internet
2020,Chameza,Casanare,577,67.24,1.68,0.56,3.31,1.85,Sin acceso a internet
2020,Aguazul,Casanare,7959,94.45,1.06,1.13,0.9,1.1,Sin acceso a internet
2020,Yopal,Casanare,35686,101.71,2.49,2.47,2.63,1.96,Sin acceso a internet
2020,Tame,Arauca,11725,117.65,4.66,3.33,6.6,6.71,Sin acceso a internet
2020,Saravena,Arauca,14258,85.17,3.35,3.0,4.05,4.21,Sin acceso a internet
2020,Puerto Rondón,Arauca,1058,74.95,1.68,1.53,1.21,1.72,Sin acceso a internet
2020,Fortul,Arauca,4978,104.96,5.95,5.83,8.17,2.97,Sin acceso a internet
2020,Cravo Norte,Arauca,836,90.67,5.74,5.25,4.06,7.69,Sin acceso a internet
2020,Arauquita,Arauca,13580,68.03,4.39,4.22,4.56,5.33,Sin acceso a internet
2020,Arauca,Arauca,20145,98.58,2.95,3.05,3.34,2.68,Sin acceso a internet
2020,Zarzal,Valle del Cauca,8497,77.97,3.63,3.86,3.88,2.55,Sin acceso a internet
2020,Yumbo,Valle del Cauca,21408,97.33,2.44,2.34,2.22,3.25,Sin acceso a internet
2020,Yotoco,Valle del Cauca,3125,77.86,0.8,0.74,0.76,1.56,Sin acceso a internet
2020,Vijes,Valle del Cauca,2405,69.56,2.0,1.34,2.5,3.03,Sin acceso a internet
2020,Versalles,Valle del Cauca,1323,70.67,3.7,2.13,6.21,2.61,Sin acceso a internet
2020,Ulloa,Valle del Cauca,1091,71.13,1.74,0.55,2.08,5.26,Sin acceso a internet
2020,Tuluá,Valle del Cauca,41830,79.64,3.32,2.77,4.11,3.09,Sin acceso a internet
2020,Trujillo,Valle del Cauca,4136,70.14,2.25,2.6,2.1,1.91,Sin acceso a internet
2020,Toro,Valle del Cauca,3034,73.8,4.96,4.48,6.8,1.83,Sin acceso a internet
2020,Sevilla,Valle del Cauca,7604,74.17,4.5,3.31,6.15,2.65,Sin acceso a internet
2020,San Pedro,Valle del Cauca,3447,76.15,1.21,1.0,1.38,2.12,Sin acceso a internet
2020,Roldanillo,Valle del Cauca,6938,82.1,1.58,1.22,1.7,1.86,Sin acceso a internet
2020,Riofrío,Valle del Cauca,3152,77.35,5.02,5.32,5.38,3.75,Sin acceso a internet
2020,Restrepo,Valle del Cauca,3080,95.03,2.16,1.76,2.68,1.94,Sin acceso a internet
2020,Pradera,Valle del Cauca,10348,79.44,2.79,2.6,2.64,2.1,Sin acceso a internet
2020,Palmira,Valle del Cauca,62862,81.55,1.71,1.67,1.69,1.62,Sin acceso a internet
2020,Obando,Valle del Cauca,2459,63.93,4.65,4.84,4.6,1.66,Sin acceso a internet
2020,La Victoria,Valle del Cauca,2098,90.99,3.8,2.86,5.44,2.41,Sin acceso a internet
2020,La Unión,Valle del Cauca,6707,77.1,2.85,2.69,3.32,2.69,Sin acceso a internet
2020,La Cumbre,Valle del Cauca,2841,73.28,3.45,1.41,2.06,2.68,Sin acceso a internet
